time	species	protein	transcript	ribo_density
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__proteinY_rbs	0.000000	0.000000	0.000000
0.000000	__proteinZ_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	p1	1.000000	0.000000	0.000000
0.000000	p2	1.000000	0.000000	0.000000
0.000000	rnapol	4.000000	0.000000	0.000000
10.000771	__proteinX_rbs	3.000000	0.000000	0.000000
10.000771	__proteinY_rbs	1.000000	0.000000	0.000000
10.000771	__proteinZ_rbs	0.000000	0.000000	0.000000
10.000771	__ribosome	65.000000	0.000000	0.000000
10.000771	__rnase_site	0.000000	0.000000	0.000000
10.000771	__rnase_site_ext	4.000000	0.000000	0.000000
10.000771	p1	1.000000	0.000000	0.000000
10.000771	p2	1.000000	0.000000	0.000000
10.000771	proteinX	16.000000	4.000000	4.000000
10.000771	proteinY	3.000000	4.000000	3.000000
10.000771	proteinZ	8.000000	3.000000	2.333333
10.000771	rnapol	0.000000	0.000000	0.000000
19.999106	__proteinX_rbs	3.000000	0.000000	0.000000
19.999106	__proteinY_rbs	3.000000	0.000000	0.000000
19.999106	__proteinZ_rbs	6.000000	0.000000	0.000000
19.999106	__ribosome	42.000000	0.000000	0.000000
19.999106	__rnase_site	0.000000	0.000000	0.000000
19.999106	__rnase_site_ext	7.000000	0.000000	0.000000
19.999106	p1	1.000000	0.000000	0.000000
19.999106	p2	0.000000	0.000000	0.000000
19.999106	proteinX	48.000000	6.000000	2.833333
19.999106	proteinY	35.000000	6.000000	2.666667
19.999106	proteinZ	37.000000	10.000000	2.500000
19.999106	rnapol	0.000000	0.000000	0.000000
30.000832	__proteinX_rbs	7.000000	0.000000	0.000000
30.000832	__proteinY_rbs	8.000000	0.000000	0.000000
30.000832	__proteinZ_rbs	11.000000	0.000000	0.000000
30.000832	__ribosome	43.000000	0.000000	0.000000
30.000832	__rnase_site	0.000000	0.000000	0.000000
30.000832	__rnase_site_ext	12.000000	0.000000	0.000000
30.000832	p1	1.000000	0.000000	0.000000
30.000832	p2	0.000000	0.000000	0.000000
30.000832	proteinX	90.000000	10.000000	1.800000
30.000832	proteinY	71.000000	9.000000	1.666667
30.000832	proteinZ	97.000000	12.000000	2.000000
30.000832	rnapol	0.000000	0.000000	0.000000
39.999773	__proteinX_rbs	10.000000	0.000000	0.000000
39.999773	__proteinY_rbs	8.000000	0.000000	0.000000
39.999773	__proteinZ_rbs	15.000000	0.000000	0.000000
39.999773	__ribosome	21.000000	0.000000	0.000000
39.999773	__rnase_site	0.000000	0.000000	0.000000
39.999773	__rnase_site_ext	21.000000	0.000000	0.000000
39.999773	p1	1.000000	0.000000	0.000000
39.999773	p2	1.000000	0.000000	0.000000
39.999773	proteinX	134.000000	11.000000	1.909091
39.999773	proteinY	118.000000	11.000000	2.090909
39.999773	proteinZ	156.000000	21.000000	1.666667
39.999773	rnapol	0.000000	0.000000	0.000000
49.999064	__proteinX_rbs	13.000000	0.000000	0.000000
49.999064	__proteinY_rbs	10.000000	0.000000	0.000000
49.999064	__proteinZ_rbs	14.000000	0.000000	0.000000
49.999064	__ribosome	21.000000	0.000000	0.000000
49.999064	__rnase_site	0.000000	0.000000	0.000000
49.999064	__rnase_site_ext	18.000000	0.000000	0.000000
49.999064	p1	1.000000	0.000000	0.000000
49.999064	p2	0.000000	0.000000	0.000000
49.999064	proteinX	184.000000	15.000000	1.066667
49.999064	proteinY	167.000000	14.000000	1.500000
49.999064	proteinZ	233.000000	24.000000	1.750000
49.999064	rnapol	0.000000	0.000000	0.000000
59.999144	__proteinX_rbs	12.000000	0.000000	0.000000
59.999144	__proteinY_rbs	11.000000	0.000000	0.000000
59.999144	__proteinZ_rbs	24.000000	0.000000	0.000000
59.999144	__ribosome	24.000000	0.000000	0.000000
59.999144	__rnase_site	0.000000	0.000000	0.000000
59.999144	__rnase_site_ext	24.000000	0.000000	0.000000
59.999144	p1	0.000000	0.000000	0.000000
59.999144	p2	0.000000	0.000000	0.000000
59.999144	proteinX	233.000000	15.000000	1.266667
59.999144	proteinY	210.000000	16.000000	1.187500
59.999144	proteinZ	327.000000	29.000000	1.310345
59.999144	rnapol	0.000000	0.000000	0.000000
69.999276	__proteinX_rbs	13.000000	0.000000	0.000000
69.999276	__proteinY_rbs	13.000000	0.000000	0.000000
69.999276	__proteinZ_rbs	28.000000	0.000000	0.000000
69.999276	__ribosome	14.000000	0.000000	0.000000
69.999276	__rnase_site	0.000000	0.000000	0.000000
69.999276	__rnase_site_ext	25.000000	0.000000	0.000000
69.999276	p1	1.000000	0.000000	0.000000
69.999276	p2	1.000000	0.000000	0.000000
69.999276	proteinX	281.000000	15.000000	1.466667
69.999276	proteinY	256.000000	17.000000	1.411765
69.999276	proteinZ	414.000000	33.000000	1.212121
69.999276	rnapol	0.000000	0.000000	0.000000
79.999154	__proteinX_rbs	14.000000	0.000000	0.000000
79.999154	__proteinY_rbs	15.000000	0.000000	0.000000
79.999154	__proteinZ_rbs	31.000000	0.000000	0.000000
79.999154	__ribosome	16.000000	0.000000	0.000000
79.999154	__rnase_site	0.000000	0.000000	0.000000
79.999154	__rnase_site_ext	29.000000	0.000000	0.000000
79.999154	p1	1.000000	0.000000	0.000000
